cpu_socket,mb_socket,ram_type,mb_ram_type,cpu_tdp_w,gpu_tdp_w,psu_wattage,gpu_length_mm,case_form_factor,mb_form_factor,compatible
AM4,AM4,DDR4,DDR4,159,188,750,236,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,134,427,850,237,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,79,283,750,246,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,131,184,750,272,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,163,187,650,354,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR5,DDR4,77,269,650,236,ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,134,351,850,248,ATX,ATX,1
LGA1200,LGA1200,DDR4,DDR4,72,386,1000,207,Mini-ITX,ATX,0
AM5,LGA1700,DDR4,DDR4,85,449,850,237,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,66,179,450,183,Mini-ITX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,145,292,650,215,Mini-ITX,Mini-ITX,1
AM4,LGA1700,DDR5,DDR5,78,287,1000,194,Micro-ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,97,433,750,231,Mini-ITX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,67,390,450,310,ATX,Mini-ITX,0
AM5,AM4,DDR5,DDR4,142,376,650,264,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,91,373,650,221,Micro-ATX,Micro-ATX,1
LGA1200,LGA1700,DDR5,DDR5,128,119,650,346,Micro-ATX,ATX,0
LGA1700,AM5,DDR5,DDR5,112,175,550,359,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,114,297,650,206,ATX,Mini-ITX,1
AM5,AM5,DDR4,DDR5,127,137,450,231,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,77,148,550,329,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,106,444,750,312,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,158,163,550,224,Micro-ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,108,422,750,340,ATX,ATX,1
LGA1200,LGA1200,DDR5,DDR4,75,388,1000,324,Mini-ITX,ATX,0
LGA1200,LGA1700,DDR5,DDR5,129,367,850,204,Mini-ITX,Micro-ATX,0
AM5,LGA1700,DDR5,DDR5,113,332,750,224,ATX,ATX,0
AM4,AM4,DDR4,DDR4,128,162,650,246,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,89,186,850,350,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,115,435,1000,268,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,72,183,550,312,ATX,ATX,1
LGA1700,LGA1700,DDR5,DDR5,78,313,450,291,Mini-ITX,Micro-ATX,0
AM4,LGA1700,DDR4,DDR4,149,227,750,260,Mini-ITX,Mini-ITX,0
LGA1200,AM4,DDR4,DDR4,91,93,450,273,Micro-ATX,ATX,0
AM4,AM4,DDR4,DDR4,114,249,850,274,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,148,127,1000,332,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,141,231,1000,319,ATX,Mini-ITX,1
LGA1700,AM5,DDR5,DDR5,93,373,650,275,ATX,ATX,0
AM4,AM4,DDR5,DDR4,110,351,650,203,Mini-ITX,ATX,0
LGA1700,AM5,DDR5,DDR5,146,127,650,297,Mini-ITX,ATX,0
LGA1700,AM5,DDR4,DDR5,157,313,450,201,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,137,345,850,257,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,119,419,850,320,Micro-ATX,ATX,0
AM5,LGA1200,DDR4,DDR4,146,388,450,199,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,134,330,1000,335,ATX,ATX,1
AM4,AM4,DDR5,DDR4,85,80,1000,232,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,151,302,1000,324,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,166,422,450,318,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,152,117,450,305,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,154,379,850,189,ATX,ATX,1
AM5,LGA1700,DDR5,DDR5,118,95,450,290,ATX,ATX,0
AM4,LGA1200,DDR4,DDR4,103,109,850,213,Micro-ATX,Mini-ITX,0
LGA1700,AM5,DDR5,DDR5,156,289,650,206,ATX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,92,318,650,349,ATX,ATX,1
AM5,AM5,DDR5,DDR5,118,123,450,355,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,147,304,650,294,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,107,300,550,345,ATX,ATX,1
AM5,AM5,DDR5,DDR5,75,289,650,281,Micro-ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,90,370,650,278,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,149,351,750,339,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR5,DDR4,90,192,750,330,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,151,95,450,230,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,83,413,450,258,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,90,300,850,201,Micro-ATX,Micro-ATX,1
LGA1700,LGA1200,DDR4,DDR4,97,363,850,205,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,135,153,850,274,Micro-ATX,ATX,0
LGA1700,AM4,DDR5,DDR4,123,150,1000,324,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,99,105,1000,315,ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,114,166,1000,349,ATX,Micro-ATX,1
AM4,AM4,DDR4,DDR4,169,294,850,268,ATX,ATX,1
AM5,AM4,DDR4,DDR4,123,318,650,300,Mini-ITX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,157,201,1000,332,ATX,Micro-ATX,1
LGA1700,LGA1200,DDR4,DDR4,110,416,550,285,ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,100,268,450,183,Micro-ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,65,202,550,214,ATX,ATX,1
LGA1700,LGA1700,DDR5,DDR5,79,299,750,181,Micro-ATX,ATX,0
AM4,AM4,DDR5,DDR4,149,307,1000,265,Mini-ITX,Mini-ITX,0
LGA1700,LGA1200,DDR5,DDR4,147,247,1000,193,ATX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,123,231,1000,199,Mini-ITX,ATX,0
AM5,LGA1200,DDR4,DDR4,143,76,450,233,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR5,DDR4,113,196,1000,223,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,121,375,550,346,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,68,213,450,347,Mini-ITX,Mini-ITX,0
LGA1700,AM4,DDR4,DDR4,155,222,850,248,ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,65,431,750,227,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR5,DDR4,135,170,550,254,Mini-ITX,Micro-ATX,0
AM5,LGA1200,DDR4,DDR4,96,243,650,200,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,135,203,650,309,Micro-ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,121,126,450,283,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,138,260,1000,219,Micro-ATX,Micro-ATX,1
AM4,AM4,DDR4,DDR4,101,150,750,183,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,131,407,1000,353,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,159,285,550,340,Mini-ITX,ATX,0
LGA1700,AM4,DDR4,DDR4,127,84,550,333,ATX,ATX,0
AM5,AM5,DDR4,DDR5,94,97,750,225,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,164,448,750,301,ATX,Mini-ITX,1
LGA1700,LGA1200,DDR4,DDR4,82,285,550,198,Micro-ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,165,127,450,348,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,125,99,1000,261,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,97,313,650,319,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,96,161,650,207,ATX,ATX,1
AM4,AM4,DDR4,DDR4,65,178,650,185,ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,153,160,550,287,ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,143,199,550,347,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,128,92,550,204,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,65,132,450,307,Micro-ATX,Micro-ATX,1
AM4,AM4,DDR4,DDR4,137,393,650,180,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,154,184,550,224,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR4,DDR5,102,350,850,206,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,119,230,750,237,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,68,338,450,298,Mini-ITX,Mini-ITX,0
LGA1700,LGA1200,DDR4,DDR4,80,297,550,202,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,77,446,550,180,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,125,411,450,338,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,130,242,750,203,ATX,Micro-ATX,1
LGA1700,AM4,DDR4,DDR4,66,133,550,332,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,120,223,850,301,Micro-ATX,Mini-ITX,1
LGA1200,LGA1700,DDR5,DDR5,168,421,750,349,ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,163,110,850,340,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR5,DDR4,92,141,850,215,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,160,404,850,295,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,133,349,750,320,Mini-ITX,Micro-ATX,0
AM5,AM4,DDR5,DDR4,148,263,450,180,ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,167,376,850,347,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,124,292,650,253,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,100,216,650,250,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,82,83,1000,310,ATX,ATX,1
AM4,LGA1700,DDR5,DDR5,115,150,1000,213,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,114,78,650,196,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,76,125,550,236,Mini-ITX,ATX,0
LGA1200,AM4,DDR5,DDR4,102,432,750,192,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,96,381,1000,313,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,91,115,1000,247,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,103,116,850,185,Mini-ITX,ATX,0
AM4,AM5,DDR4,DDR5,141,112,650,227,ATX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,84,166,1000,307,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR5,DDR5,140,168,550,224,ATX,ATX,1
AM4,LGA1200,DDR4,DDR4,119,180,650,261,Micro-ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,78,143,1000,196,Micro-ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,165,152,450,225,Mini-ITX,ATX,0
AM5,AM4,DDR4,DDR4,161,303,450,263,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR5,150,381,850,246,Micro-ATX,Mini-ITX,0
AM4,LGA1700,DDR4,DDR4,162,203,450,323,Micro-ATX,Micro-ATX,0
AM4,LGA1200,DDR4,DDR4,87,421,750,258,ATX,Micro-ATX,0
LGA1200,AM4,DDR4,DDR4,157,98,650,262,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,80,132,1000,296,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR4,134,102,650,290,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,168,392,750,187,Mini-ITX,Micro-ATX,0
AM5,LGA1200,DDR4,DDR4,120,356,750,211,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,106,226,1000,281,ATX,Mini-ITX,1
LGA1700,LGA1700,DDR4,DDR4,109,226,650,305,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,99,325,450,297,Mini-ITX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,67,135,850,349,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,156,178,850,204,ATX,ATX,1
AM5,LGA1700,DDR5,DDR5,86,279,850,318,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,130,344,1000,273,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR5,166,303,650,259,ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,154,339,650,259,Micro-ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,162,193,1000,348,Mini-ITX,ATX,0
LGA1700,AM4,DDR4,DDR4,145,309,650,305,ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,92,210,650,231,ATX,Micro-ATX,1
LGA1200,LGA1700,DDR4,DDR4,69,201,650,323,ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,77,221,650,359,ATX,ATX,1
LGA1200,LGA1200,DDR4,DDR4,81,404,1000,232,Mini-ITX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,93,253,1000,220,Micro-ATX,Micro-ATX,1
AM4,LGA1700,DDR4,DDR4,118,282,550,270,ATX,Mini-ITX,0
LGA1200,LGA1700,DDR4,DDR4,169,114,450,303,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,83,234,550,189,Micro-ATX,Mini-ITX,1
LGA1200,AM5,DDR5,DDR5,151,426,650,251,ATX,ATX,0
LGA1700,AM4,DDR4,DDR4,93,128,750,338,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,81,266,450,220,ATX,ATX,1
AM5,AM4,DDR4,DDR4,68,355,850,241,ATX,ATX,0
AM4,AM5,DDR5,DDR5,151,245,850,187,ATX,Micro-ATX,0
AM5,LGA1700,DDR4,DDR4,117,277,850,308,Micro-ATX,ATX,0
AM5,AM5,DDR5,DDR5,133,356,1000,201,Mini-ITX,ATX,0
AM5,AM5,DDR4,DDR5,71,224,850,358,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,133,143,1000,351,Mini-ITX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,114,321,1000,232,ATX,Mini-ITX,1
AM4,AM4,DDR5,DDR4,103,341,650,184,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,128,183,650,226,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,144,176,450,273,ATX,ATX,1
AM5,AM5,DDR5,DDR5,124,210,450,181,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,153,408,450,264,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,163,252,750,263,ATX,ATX,1
LGA1700,LGA1700,DDR5,DDR5,75,114,650,273,ATX,ATX,1
AM4,AM4,DDR4,DDR4,98,166,450,274,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,149,408,450,347,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,76,227,450,215,Mini-ITX,Mini-ITX,1
LGA1200,LGA1700,DDR4,DDR5,69,153,650,191,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR5,DDR4,82,375,1000,238,Micro-ATX,Micro-ATX,0
AM5,LGA1200,DDR4,DDR4,104,373,750,264,ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,148,399,450,286,Micro-ATX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,104,422,850,347,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,99,218,650,232,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,101,274,450,235,ATX,Micro-ATX,1
LGA1700,LGA1700,DDR5,DDR5,87,359,850,275,ATX,Micro-ATX,1
LGA1200,AM4,DDR4,DDR4,127,447,450,298,Mini-ITX,Mini-ITX,0
AM5,LGA1200,DDR4,DDR4,125,306,450,348,Mini-ITX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR4,90,261,550,263,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,104,394,750,190,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,117,165,1000,193,Mini-ITX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,166,404,750,247,ATX,ATX,1
AM5,AM5,DDR5,DDR5,150,314,1000,311,Micro-ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,78,119,1000,323,ATX,Mini-ITX,1
AM4,AM4,DDR4,DDR4,71,83,1000,273,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,137,117,650,322,Micro-ATX,ATX,0
AM4,AM4,DDR4,DDR4,162,155,650,205,Micro-ATX,ATX,0
AM5,AM5,DDR4,DDR5,85,226,550,325,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,157,312,650,257,ATX,Micro-ATX,1
AM5,AM5,DDR4,DDR5,115,434,750,187,ATX,Mini-ITX,0
LGA1700,AM5,DDR5,DDR5,97,425,850,330,Mini-ITX,ATX,0
AM5,AM4,DDR4,DDR4,140,275,450,344,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,83,438,550,235,Mini-ITX,ATX,0
LGA1700,AM5,DDR5,DDR5,135,400,450,307,Micro-ATX,Mini-ITX,0
AM4,LGA1200,DDR5,DDR4,78,421,850,234,Micro-ATX,Micro-ATX,0
LGA1700,AM4,DDR4,DDR4,167,361,650,262,Micro-ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,76,108,850,193,Micro-ATX,Mini-ITX,1
LGA1700,AM5,DDR5,DDR5,74,88,550,208,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,167,324,1000,336,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,162,98,450,215,ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,160,373,550,271,Mini-ITX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,76,108,650,220,Micro-ATX,Micro-ATX,1
LGA1700,LGA1700,DDR4,DDR5,121,233,550,290,ATX,ATX,0
LGA1700,LGA1700,DDR4,DDR4,110,362,850,342,ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,126,261,750,273,ATX,Micro-ATX,1
LGA1200,AM5,DDR5,DDR5,118,254,1000,255,Mini-ITX,ATX,0
LGA1700,LGA1700,DDR5,DDR5,129,94,750,356,ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,159,375,850,309,Micro-ATX,Mini-ITX,1
LGA1200,LGA1200,DDR4,DDR4,85,396,850,293,ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,139,214,750,256,Micro-ATX,Mini-ITX,1
AM5,LGA1700,DDR4,DDR4,113,299,850,242,ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,88,410,850,229,Micro-ATX,ATX,0
AM4,AM4,DDR4,DDR4,165,223,550,239,Micro-ATX,ATX,0
LGA1200,AM4,DDR4,DDR4,139,356,650,321,Micro-ATX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,105,122,850,279,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,126,355,450,326,ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,151,143,550,221,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR4,DDR5,97,143,550,245,ATX,ATX,0
AM5,AM5,DDR5,DDR5,159,163,750,317,ATX,Mini-ITX,1
AM5,AM5,DDR4,DDR5,130,449,650,290,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,144,105,850,182,Micro-ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,116,361,750,295,Mini-ITX,Mini-ITX,0
AM4,AM4,DDR4,DDR4,154,363,1000,300,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,143,175,850,289,Micro-ATX,Mini-ITX,1
AM5,AM5,DDR5,DDR5,101,155,550,220,ATX,Mini-ITX,1
AM4,LGA1200,DDR4,DDR4,65,330,850,214,Mini-ITX,ATX,0
AM4,AM4,DDR5,DDR4,145,127,550,301,Mini-ITX,Mini-ITX,0
AM5,AM5,DDR4,DDR5,123,174,450,257,Mini-ITX,Micro-ATX,0
LGA1700,AM5,DDR5,DDR5,104,351,1000,331,ATX,Mini-ITX,0
AM4,AM4,DDR5,DDR4,69,153,550,341,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,100,355,450,246,ATX,ATX,0
AM4,AM4,DDR4,DDR4,85,352,1000,274,Micro-ATX,Mini-ITX,1
LGA1700,AM4,DDR4,DDR4,108,166,1000,192,ATX,Mini-ITX,0
LGA1700,LGA1200,DDR4,DDR4,75,124,550,211,ATX,Micro-ATX,0
AM5,AM5,DDR4,DDR5,160,277,850,294,ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,67,428,750,252,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,153,106,450,321,Micro-ATX,Micro-ATX,0
LGA1200,LGA1200,DDR5,DDR4,154,168,1000,193,ATX,Micro-ATX,0
AM4,LGA1700,DDR4,DDR4,121,359,750,203,ATX,Mini-ITX,0
AM4,LGA1200,DDR4,DDR4,70,403,550,274,Mini-ITX,Mini-ITX,0
AM4,LGA1200,DDR4,DDR4,109,119,1000,222,ATX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,152,370,1000,344,Mini-ITX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,142,373,550,240,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR5,DDR4,106,207,650,294,Micro-ATX,Micro-ATX,0
AM4,AM4,DDR4,DDR4,168,305,1000,197,ATX,Micro-ATX,1
LGA1200,LGA1200,DDR4,DDR4,157,367,550,224,Mini-ITX,ATX,0
AM5,AM5,DDR5,DDR5,163,386,1000,184,Micro-ATX,ATX,0
LGA1200,LGA1200,DDR4,DDR4,139,252,450,261,Micro-ATX,Mini-ITX,0
LGA1200,LGA1200,DDR4,DDR4,108,429,1000,189,Micro-ATX,Mini-ITX,1
LGA1700,AM5,DDR5,DDR5,142,407,550,218,Micro-ATX,Micro-ATX,0
AM5,AM5,DDR5,DDR5,146,227,450,241,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR4,DDR4,143,113,650,202,Micro-ATX,ATX,0
LGA1700,LGA1700,DDR5,DDR4,71,206,1000,284,ATX,ATX,0
AM5,LGA1200,DDR5,DDR4,99,385,550,232,ATX,ATX,0
AM4,AM4,DDR4,DDR4,71,446,450,193,ATX,ATX,0
LGA1700,LGA1700,DDR4,DDR5,131,228,1000,235,Micro-ATX,Micro-ATX,0
LGA1700,AM5,DDR5,DDR5,111,137,650,192,ATX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,144,167,850,331,Mini-ITX,ATX,0
LGA1200,LGA1700,DDR4,DDR5,86,190,850,218,Micro-ATX,Mini-ITX,0
LGA1700,LGA1700,DDR5,DDR5,91,183,650,279,ATX,Micro-ATX,1
AM5,AM5,DDR5,DDR5,129,197,850,291,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR5,111,238,450,359,ATX,ATX,1
AM5,LGA1200,DDR4,DDR4,113,279,450,316,Mini-ITX,Micro-ATX,0
LGA1700,LGA1700,DDR5,DDR4,116,434,750,295,Micro-ATX,Mini-ITX,0
LGA1700,LGA1700,DDR4,DDR4,119,267,1000,240,Micro-ATX,Micro-ATX,1
AM5,LGA1700,DDR4,DDR4,109,156,450,197,Micro-ATX,ATX,0
LGA1700,AM5,DDR5,DDR5,139,87,550,282,Mini-ITX,ATX,0
AM4,AM4,DDR4,DDR4,163,148,550,251,Micro-ATX,ATX,0
AM5,AM4,DDR4,DDR4,164,262,450,316,Micro-ATX,Mini-ITX,0
AM5,AM5,DDR5,DDR5,169,206,550,302,ATX,Micro-ATX,1
LGA1700,AM4,DDR4,DDR4,168,202,750,309,Mini-ITX,Micro-ATX,0
LGA1200,LGA1200,DDR4,DDR4,135,387,550,234,Mini-ITX,Micro-ATX,0
